time,function,tx_hash,tokenIn,tokenOut,execution_price,eth_amount,gas,gas_price,reserves_after
2023-11-19 03:16:53.037149,BUY,0xb67bf874df04c2acabf47cf338fc13b7db99478b9819efd78524b9252f105644,WETH,MEGADETH,1.098397984083626e-09,0.05,600000,37005948432,[2363926629931876082, 3064305968077997298]
2023-11-19 03:45:14.685428,BUY,0x1700fb457364f6e97561c49f532e6e768045282d8204cd05a9f7b4b23f8b6c68,WETH,DEATHC,9.102495073449496e-08,0.05,600000,40638102492,[18988106462730167, 3965882913733858158]
2023-11-19 11:50:15.970003,BUY,0xe9432fa8b4a5ad7d841bbdf2ea878086558d9b2a48e635df553a9e73ae028049,WETH,SQUIDGROW,1.174427038898199e-08,0.05,600000,43184015960,[247533468149968436, 2948378680334863361]
2023-11-19 15:05:29.036856,BUY,0xf260ba84ff4ee6c79152a6ba1f58c07273e330155565e940c0b84409a96fc970,WETH,FIDO,1.1949537594093834e-26,0.018404245066828036,600000,38791735393,[278257440958050442813082302, 3535225378962036386]
2023-11-19 16:09:28.408824,BUY,0x5b3c54979404462a689b12ee6fe68417bc56ba339a453659446385bba5ae1722,WETH,SQUID,9.954906577404701e-08,0.05,600000,51739410299,[28537715310212235, 2882380189761971318]
2023-11-19 16:53:40.105277,BUY,0x1e7ed17e1acdfe96dc11e4aca3e17ab5c9562b224b455d7669e379143b2aa8d0,WETH,TAI,1.2423314459937942e-26,0.05,600000,44572349984,[320018315399342392832541866, 2981787107631545060]
2023-11-19 17:00:17.054085,BUY,0x90d3095f18e38f509ed79cea7bbfa021c5cd02886076cd81c608fed8eec00486,WETH,VNY,7.114362576416342e-27,0.013904042824303749,600000,42843058179,[634121108879735540954808863, 4547380982904275936]
2023-11-19 17:47:16.555304,BUY,0x2713837916599b0811337ab402b9a801fa87a0d5a38cb43bde4c6e74152c3216,WETH,BONK,1.2586061953070295e-07,0.05,600000,58734269230,[20332733560706927, 3591480192396583559]
2023-11-19 17:47:19.427164,BUY,0x2713837916599b0811337ab402b9a801fa87a0d5a38cb43bde4c6e74152c3216,WETH,BONK,1.3004761463130636e-07,0.05,600000,58734269230,[20332733560706927, 3591480192396583559]
2023-11-19 17:48:04.494249,BUY,0x08e70af1245473fc62cb47ae87f0e8b90f45002392090f234bb1e9d3bde7a354,WETH,BONK,1.615764274987945e-07,0.05,600000,60638206792,[20856320327830578, 3508211178826493863]
2023-11-19 17:48:07.292338,BUY,0x08e70af1245473fc62cb47ae87f0e8b90f45002392090f234bb1e9d3bde7a354,WETH,BONK,1.6631011489058034e-07,0.05,600000,60638206792,[20856320327830578, 3508211178826493863]
2023-11-19 17:48:16.878858,BUY,0x30f9f2d99e4539597ec502204041fe5b105334e2e260ef27e58d8417d9ca8980,WETH,BONK,1.7111203822987734e-07,0.05,600000,60638206792,[20279994466224104, 3608211178826493863]
2023-11-19 17:48:19.475738,BUY,0x30f9f2d99e4539597ec502204041fe5b105334e2e260ef27e58d8417d9ca8980,WETH,BONK,1.7598219459913217e-07,0.05,600000,60638206792,[20279994466224104, 3608211178826493863]
2023-11-19 18:08:28.852536,BUY,0xc0ff14ae0e0bc1e4f6399e8b55be2cb43db7fb857e1dee06b58d60038cea91f1,WETH,CLIPPY,2.6023170266068703e-28,0.05,600000,67212359257,[40535101649926686207740609703, 11512025659525071474]
2023-11-19 18:08:31.660518,BUY,0xc0ff14ae0e0bc1e4f6399e8b55be2cb43db7fb857e1dee06b58d60038cea91f1,WETH,CLIPPY,2.62598732929309e-28,0.05,600000,67212359257,[40535101649926686207740609703, 11512025659525071474]
2023-11-19 18:18:05.826343,BUY,0x20b1d1bb4c2ee4f29d842f3d76bc3fe4f92e8eafc114390495edc9e77a18fe28,WETH,BONK,4.257145479016505e-09,0.02412176015992639,600000,47501007583,[401396695377598033, 2422937044214947330]
2023-11-19 18:18:08.610636,BUY,0x20b1d1bb4c2ee4f29d842f3d76bc3fe4f92e8eafc114390495edc9e77a18fe28,WETH,BONK,4.358707060410493e-09,0.02412176015992639,600000,47501007583,[401396695377598033, 2422937044214947330]
2023-11-19 18:21:54.262305,SELL,0x342c087bf239a8e935414801c3bef4a441e0cd8271e8144b8dc20b47b32b7413,BONK,WETH,3.0583207715246185e-07,0.3055024323521255,550000,35699797055,[15728330111750290, 5189341056137457514]
2023-11-19 18:27:52.838163,BUY,0xab4a26c3acc7c765494e90715358de117fde8b6bfc4a010029f89ed27bc9530f,WETH,$MYRO,4.4074311347608106e-10,0.05,600000,50419656292,[3830715759136517559, 1961754370978365753]
2023-11-19 18:27:55.661476,BUY,0xab4a26c3acc7c765494e90715358de117fde8b6bfc4a010029f89ed27bc9530f,WETH,$MYRO,4.6529848072820854e-10,0.05,600000,50419656292,[3830715759136517559, 1961754370978365753]
2023-11-19 18:30:17.348093,SELL,0x5e44896560c93ac0a35ac4c0d732c388b6fce8fffe0b5b87267dd7b9e0ebb81d,BONK,WETH,2.8184268244601594e-08,0.10380317173789441,550000,38349668551,[188993911895044758, 5238567640630538401]
2023-11-19 18:46:05.197083,BUY,0xd01753484b99b85ac14122f5e8747fc727b8ed2cde061ca36ffd863e3b405d9d,WETH,HP,5.236067793335543e-12,0.05,600000,54250343091,[341445991766899584244, 2113370845127524822]
2023-11-19 18:53:05.783764,BUY,0x5c18c4266a751b7b69cbc9ebfe1fede0ad4a20ad06601ed3d3b51bd372dc33c7,WETH,GETF,9.22250710646305e-27,0.05,600000,50450435137,[391315982335107796808552061, 3843902740633252067]
2023-11-19 18:53:08.399836,BUY,0x5c18c4266a751b7b69cbc9ebfe1fede0ad4a20ad06601ed3d3b51bd372dc33c7,WETH,GETF,9.471800983221285e-27,0.05,600000,50450435137,[391315982335107796808552061, 3843902740633252067]
2023-11-19 19:02:41.550848,BUY,0xac2f671ad027607148f725e3710fc945fc70bbf4217bae291323d318901d1e53,WETH,GROK,8.910406988530419e-07,0.015998774344804872,600000,51923862432,[12455867949389252, 1154045636494343890]
2023-11-19 19:02:44.307890,BUY,0xac2f671ad027607148f725e3710fc945fc70bbf4217bae291323d318901d1e53,WETH,GROK,9.164124737156065e-07,0.015998774344804872,600000,51923862432,[12455867949389252, 1154045636494343890]
2023-11-19 19:04:09.017854,BUY,0x3dd8fa0ed1bb702efaf4629e482aa989a26bce70c7adfdba6c75662f9101a942,WETH,GROK,1.672539987454155e-06,0.05,600000,51847105662,[17846447803571474, 3298029741362527787]
2023-11-19 19:04:11.604270,BUY,0x3dd8fa0ed1bb702efaf4629e482aa989a26bce70c7adfdba6c75662f9101a942,WETH,GROK,1.7262777275256075e-06,0.05,600000,51847105662,[17846447803571474, 3298029741362527787]
2023-11-19 20:42:52.318292,BUY,0x4d1ca2600539a3ddf2646e334789a7ca9839b11b3e45686159e3c8efdbeb337e,WETH,STARRY,1.2462096777768635e-26,0.009609978140776135,600000,40264360879,[255703182795341888127123648, 3926788211906499655]
2023-11-19 20:42:55.121720,BUY,0x4d1ca2600539a3ddf2646e334789a7ca9839b11b3e45686159e3c8efdbeb337e,WETH,STARRY,1.2529910935683761e-26,0.009609978140776135,600000,40264360879,[255703182795341888127123648, 3926788211906499655]
2023-11-19 20:53:05.281634,BUY,0x017c698071347fc71abbec8e5ecbafc06db524c298edbb6698b60d5555612d90,WETH,MBS,7.253632543405342e-27,0.05,600000,45801829230,[319328180185847685690043739, 2934819075360922336]
2023-11-19 21:22:53.426938,BUY,0x6d95cee8c405c8bdcfaeca02799626dd20218be67a1c6b0aaab4b9fef30cc414,WETH,SFY,2.786426787502321e-07,0.019898366140066705,600000,47241750835,[4987546068951106, 1868120179198391241]
2023-11-19 21:22:56.321426,BUY,0x6d95cee8c405c8bdcfaeca02799626dd20218be67a1c6b0aaab4b9fef30cc414,WETH,SFY,2.8556903681103117e-07,0.019898366140066705,600000,47241750835,[4987546068951106, 1868120179198391241]
2023-11-19 21:55:16.266192,BUY,0xce8938b97ed466fbe74af669f03e0252df8cec34277a27e772b55049a5c57b75,WETH,APU,7.265820167228405e-07,0.05,600000,43419912430,[3282265400696329, 2554223887681581132]
2023-11-19 22:02:35.258930,BUY,0x93fdf6e86d3b322aa5b65db1316295a4a72286644fe8389645ebeaeae138a0e7,WETH,$Milliways,6.634282316846649e-27,0.04153220177646218,600000,38412830239,[201350681365310620762200274, 1302113722508924425]
2023-11-19 22:02:37.900310,BUY,0x93fdf6e86d3b322aa5b65db1316295a4a72286644fe8389645ebeaeae138a0e7,WETH,$Milliways,7.058861731756414e-27,0.04153220177646218,600000,38412830239,[201350681365310620762200274, 1302113722508924425]
2023-11-19 22:07:29.012742,SELL,0xd34f1a93c35e46d4c4c9655e0703b5ced7cff7e506b4917bcfad573c823de460,SFY,WETH,2.6484555494865575e-06,0.13475576016152035,550000,21788365322,[1920257135066028, 4965857478079498339]
2023-11-19 22:25:40.781182,BUY,0x7fc6f8146dcca22886b11cdd8bf3611d3ead95c5819d3ba96ce441a7eb4f9620,WETH,RoC,7.874993504725953e-08,0.05,600000,43981321385,[30491910956790063, 2578357857401369976]
2023-11-19 22:34:41.196110,BUY,0xb73edd5216557afe0a6e19e37b905365bcbf8b8fb2dfa8f9c214a60caae33666,WETH,PEEP,2.1122828044110533e-07,0.017670396638034918,600000,35590279231,[6236825101390568, 1444625039863406134]
2023-11-19 22:34:43.902521,BUY,0xb73edd5216557afe0a6e19e37b905365bcbf8b8fb2dfa8f9c214a60caae33666,WETH,PEEP,2.1667463477532732e-07,0.017670396638034918,600000,35590279231,[6236825101390568, 1444625039863406134]
2023-11-19 23:16:18.818273,BUY,0x0aef574f21457f7037b4f37b65ab4135683d0b82cf9e60241f1633c758971371,WETH,FARM,2.3713597242673695e-24,0.05,600000,36647606855,[5260610003098288094695302, 12882911104225467768]
2023-11-19 23:16:22.124713,BUY,0x0aef574f21457f7037b4f37b65ab4135683d0b82cf9e60241f1633c758971371,WETH,FARM,2.3901028521588417e-24,0.05,600000,36647606855,[5260610003098288094695302, 12882911104225467768]
2023-11-19 23:19:30.821338,BUY,0x3b0a220fd5a4fd7c9266790b987b02c51dd5142f583246ade24b8f5f16730854,WETH,QQC,3.0618323211399613e-27,0.05,600000,46491455239,[1954196974148907624444017828, 2680414673695776208]
2023-11-20 00:11:40.280510,SELL,0x508cea1c576beee55f613e41648d9f7453b3ed97e2051cd57f9afd6e5161fa16,QQC,WETH,4.3272706601134405e-27,0.06925849506347465,550000,18685757062,[1109840712673730866768590157, 4946655968267991524]
